Select,CRN,Subj,Section,CMP,Credits,Title,Days,Time,Cap,Act,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructors,Date,Location,Attributes
NR,80275,CSCI,101,A,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,01:00pm-01:50pm,63,62,1,0,0,0,0,0,0,"Victoria Laine Messmore (P), Robert Haven Thompson",08/22-12/16,MZ 108,UG_Req
NR,80255,CSCI,101,B,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,02:00pm-02:50pm,68,66,2,0,0,0,0,0,0,Robert Haven Thompson (P),08/22-12/16,AH 330,UG_Req
NR,80286,CSCI,101,C,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,03:00pm-03:50pm,73,65,8,0,0,0,0,0,0,Robert Haven Thompson (P),08/22-12/16,AH 340,UG_Req
NR,80777,CSCI,101,D,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,01:00pm-01:50pm,72,68,4,0,0,0,0,0,0,"Grace Katherine Jung (P), Robert Haven Thompson",08/22-12/16,CO 219,UG_Req
C,80918,CSCI,101,E,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,02:00pm-02:50pm,85,85,0,0,0,0,0,0,0,"Megan Kinsley Shapiro (P), Robert Haven Thompson",08/22-12/16,HH 202,UG_Req
NR,80919,CSCI,101,F,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,03:00pm-03:50pm,73,72,1,0,0,0,0,0,0,"Megan Kinsley Shapiro (P), Robert Haven Thompson",08/22-12/16,MZ 326,UG_Req
NR,81240,CSCI,101,G,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,04:00pm-04:50pm,75,73,2,0,0,0,0,0,0,"JoAnn Regina Hemann (P), Robert Haven Thompson",08/22-12/16,MZ 126,UG_Req
NR,81278,CSCI,101,H,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,04:00pm-04:50pm,72,68,4,0,0,0,0,0,0,"Megan Kinsley Shapiro (P), Robert Haven Thompson",08/22-12/16,MZ 226,UG_Req
NR,81458,CSCI,102,A,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,09:30am-10:45am,60,59,1,0,0,0,0,0,0,Christine Liebe (P),08/22-12/16,MZ 022,No_Special_Notes
C,81459,CSCI,102,B,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,09:30am-10:45am,63,63,0,0,0,0,0,0,0,"Robert Haven Thompson (P), Christine Liebe",08/22-12/16,BB W210,No_Special_Notes
NR,81460,CSCI,102,C,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,11:00am-12:15pm,100,89,11,0,0,0,0,0,0,"Robert Haven Thompson (P), Christine Liebe",08/22-12/16,CT 102,No_Special_Notes
NR,81461,CSCI,102,D,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,11:00am-12:15pm,75,71,4,0,0,0,0,0,0,"Zibo Wang (P), Christine Liebe",08/22-12/16,BE 243,No_Special_Notes
NR,81463,CSCI,102,E,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,03:30pm-04:45pm,60,56,4,0,0,0,0,0,0,"Matthew James Rottinghaus (P), Christine Liebe",08/22-12/16,MZ 022,No_Special_Notes
NR,81462,CSCI,102,F,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,03:30pm-04:45pm,90,74,16,0,0,0,0,0,0,"Eric William Roels (P), Christine Liebe",08/22-12/16,CK 130,No_Special_Notes
NR,82070,CSCI,102,OL,O,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,AAA,00:00zm-00:00zm,40,39,1,0,0,0,0,0,0,Christine Liebe (P),08/22-10/17,ONLINE,No_Special_Notes
C,82122,CSCI,200,A,C,3.000,FOUNDATIONAL PROGRAMMING CONCEPTS & DESIGN,MWF,09:00am-09:50am,60,60,0,0,0,0,0,0,0,"Clark Scholten (P), Jeffrey R Paone",08/22-12/16,MZ 026,No_Special_Notes
NR,82123,CSCI,200,B,C,3.000,FOUNDATIONAL PROGRAMMING CONCEPTS & DESIGN,MWF,10:00am-10:50am,60,58,2,0,0,0,0,0,0,Jeffrey R Paone (P),08/22-12/16,MZ 026,No_Special_Notes
NR,82124,CSCI,200,C,C,3.000,FOUNDATIONAL PROGRAMMING CONCEPTS & DESIGN,MWF,11:00am-11:50am,60,59,1,0,0,0,0,0,0,Jeffrey R Paone (P),08/22-12/16,MZ 026,No_Special_Notes
C,82125,CSCI,200,D,C,3.000,FOUNDATIONAL PROGRAMMING CONCEPTS & DESIGN,MWF,12:00pm-12:50pm,60,61,-1,0,0,0,0,0,0,"Clark Scholten (P), Jeffrey R Paone",08/22-12/16,MZ 026,No_Special_Notes
NR,82257,CSCI,220,A,C,3.000,DATA STRUCTURES AND ALGORITHMS,MWF,11:00am-11:50am,97,96,1,0,0,0,0,0,0,"Christopher Robert Painter- Wakefield (P), Joseph R Lovato",08/22-12/16,GC PET,No_Special_Notes
NR,82258,CSCI,220,B,C,3.000,DATA STRUCTURES AND ALGORITHMS,MWF,02:00pm-02:50pm,95,87,8,0,0,0,0,0,0,"Christopher Robert Painter- Wakefield (P), Tolga Can",08/22-12/16,GC PET,No_Special_Notes
NR,80920,CSCI,250,A,C,3.000,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM,MWF,04:00pm-04:50pm,30,12,18,0,0,0,0,0,0,"Cole Andrew Callihan (P), Paul Constantin Sava",08/22-12/16,MZ 022,UG_Req
NR,81844,CSCI,250,B,C,3.000,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM,MWF,03:00pm-03:50pm,30,28,2,0,0,0,0,0,0,Paul Constantin Sava (P),08/22-12/16,MZ 022,UG_Req
NR,81959,CSCI,250,C,C,3.000,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM,MWF,04:00pm-04:50pm,30,6,24,0,0,0,0,0,0,"Cole Andrew Callihan (P), Paul Constantin Sava",08/22-12/16,MZ 022,UG_Req
NR,81960,CSCI,250,D,C,3.000,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM,MWF,03:00pm-03:50pm,30,29,1,0,0,0,0,0,0,Paul Constantin Sava (P),08/22-12/16,MZ 022,UG_Req
NR,81640,CSCI,261,OL,O,3.000,PROGRAMMING CONCEPTS,AAA,00:00zm-00:00zm,30,18,12,0,0,0,0,0,0,"Dorothy Ann Mann (P), Jeffrey R Paone",08/22-10/17,ONLINE,UG_Req
NR,81641,CSCI,262,OL,O,3.000,DATA STRUCTURES,AAA,00:00zm-00:00zm,30,14,16,0,0,0,0,0,0,Wendy Denise Fisher (P),10/19-12/14,ONLINE,UG_Req
NR,80294,CSCI,274,A,C,1.000,INTRODUCTION TO THE LINUX OPERATING SYSTEM,W,02:00pm-02:50pm,60,50,10,0,0,0,0,0,0,"Justin M Bale (P), Ameliaann Blaisy Read",08/22-12/16,MZ 022,UG_Req
C,80827,CSCI,274,B,C,1.000,INTRODUCTION TO THE LINUX OPERATING SYSTEM,W,03:00pm-03:50pm,65,65,0,0,0,0,0,0,0,"Justin M Bale (P), Ameliaann Blaisy Read",08/22-12/16,CK 130,UG_Req
C,80921,CSCI,274,C,C,1.000,INTRODUCTION TO THE LINUX OPERATING SYSTEM,F,10:00am-10:50am,60,60,0,0,0,0,0,0,0,"Lucas Henke (P), Ameliaann Blaisy Read",08/22-12/16,MZ 022,UG_Req
NR,80922,CSCI,303,A,C,3.000,INTRODUCTION TO DATA SCIENCE,TR,03:30pm-04:45pm,45,44,1,0,0,0,60,59,1,Wendy Denise Fisher (P),08/22-12/16,MZ 126,UG_Req
