Select,CRN,Subj,Section,CMP,Credits,Title,Days,Time,Cap,Act,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructors,Date,Location,Attributes
NR,10733,CSCI,303,A,C,3.000,INTRODUCTION TO DATA SCIENCE,TR,08:00am-09:15am,72,71,1,0,0,0,0,0,0,"Matthew R Siegfried (P), Wendy Denise Fisher",01/09-05/10,BE 108,UG_Req
NR,11184,CSCI,303,B,C,3.000,INTRODUCTION TO DATA SCIENCE,TR,05:00pm-06:15pm,75,69,6,0,0,0,0,0,0,"Morgan Dallas Cox (P), Wendy Denise Fisher",01/09-05/10,BB W250,UG_Req
C,11390,CSCI,306,A,C,3.000,SOFTWARE ENGINEERING,MWF,11:00am-11:50am,60,60,0,0,0,0,0,0,0,Kathleen Marie Kelly (P),01/09-05/10,MZ 026,UG_Req
NR,10034,CSCI,306,B,C,3.000,SOFTWARE ENGINEERING,MWF,12:00pm-12:50pm,60,59,1,0,0,0,0,0,0,"Wendy Denise Fisher (P), Kathleen Marie Kelly",01/09-05/10,MZ 026,UG_Req
NR,11602,CSCI,306,OL,O,3.000,SOFTWARE ENGINEERING,TR,03:30pm-04:45pm,60,49,11,0,0,0,0,0,0,"Mark Lewis Baldwin (P), Kathleen Marie Kelly",01/09-05/10,BE 243,UG_Req
C,10759,CSCI,341,A,C,3.000,COMPUTER ORGANIZATION,TR,11:00am-12:15pm,170,170 ,0,0,0,0,0,0,0,Qi Han (P),01/09-05/10,GC MET,UG_Req
NR,10624,CSCI,358,A,C,3.000,DISCRETE MATHEMATICS,TR,09:30am-10:45am,110,101 ,9,0,0,0,0,0,0,Dejun Yang (P),01/09-05/10,HH 202,UG_Req
NR,11523,CSCI,358,B,C,3.000,DISCRETE MATHEMATICS,MWF,10:00am-10:50am,100,93,7,0,0,0,0,0,0,"Terry Joe Bridgman (P), Dejun Yang",01/09-05/10,GC PET,UG_Req
NR,11289,CSCI,400,A,C,3.000,PRINCIPLES OF PROGRAMMING LANGUAGES,TR,12:30pm-01:45pm,140,111 ,29,0,0,0,0,0,0,Neil T Dantam (P),01/09-05/10,GC MET,UG_Req
NR,10972,CSCI,403,A,C,3.000,DATA BASE MANAGEMENT,MWF,03:00pm-03:50pm,91,90,1,0,0,0,0,0,0,"Hayden O Cooreman (P), Christopher Robert Painter- Wakefield",01/09-05/10,GC MET,UG_Req
NR,10635,CSCI,403,B,C,3.000,DATA BASE MANAGEMENT,MWF,04:00pm-04:50pm,72,70,2,0,0,0,0,0,0,Christopher Robert Painter- Wakefield (P),01/09-05/10,MZ 326,UG_Req
C,10734,CSCI,404,A,C,3.000,ARTIFICIAL INTELLIGENCE,TR,09:30am-10:45am,147,148 ,-1,0,0,0,0,0,0,Hua Wang (P),01/09-05/10,BE 241,UG_Req
NR,12141,CSCI,404,B,C,3.000,ARTIFICIAL INTELLIGENCE,TR,11:00am-12:15pm,50,49,1,0,0,0,0,0,0,Micah David Corah (P),01/09-05/10,AH 162,UG_Req
C,10735,CSCI,406,A,C,3.000,ALGORITHMS,MWF,12:00pm-12:50pm,112,112 ,0,0,0,0,0,0,0,Tolga Can (P) ,01/09-05/10,HH 202,UG_Req
NR,12140,CSCI,406,B,C,3.000,ALGORITHMS,MWF,01:00pm-01:50pm,115,110 ,5,0,0,0,0,0,0,Colleen Estelle Smith (P),01/09-05/10,GC PET,UG_Req
C,11273,CSCI,410,A,C,3.000,ELEMENTS OF COMPUTING SYSTEMS,TR,03:30pm-04:45pm,60,60,0,0,0,0,0,0,0,Phillip Richardson Romig (P),01/09-05/10,AH 151,No_Special_Notes
NR,11386,CSCI,425,A,C,3.000,COMPILER DESIGN,MWF,09:00am-09:50am,40,25,15,0,0,0,0,0,0,Keith E Hellman (P),01/09-05/10,VC 160,No_Special_Notes
NR,11166,CSCI,432,A,C,3.000,ROBOT ETHICS,TR,02:00pm-03:15pm,35,32,3,0,0,0,67,61,6,Thomas Emrys Williams (P),01/09-05/10,BE 243,No_Special_Notes
