Select,CRN,Subj,CrseNum,Section,CMP,Credits,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructors,Date,Location,Attributes
NR,10235,CSCI,101,A,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,01:00pm-01:50pm,60,59,1,0,0,0,0,0,0,"Grace Katherine Jung (P), Robert Haven Thompson",01/11-05/13,MZ 235,UG_Req
C,10811,CSCI,101,B,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,02:00pm-02:50pm,60,63,-3,0,0,0,0,0,0,Robert Haven Thompson (P),01/11-05/13,MZ 235,UG_Req
C,10812,CSCI,101,C,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,03:00pm-03:50pm,60,60,0,0,0,0,0,0,0,Robert Haven Thompson (P),01/11-05/13,AH 330,UG_Req
C,10264,CSCI,101,D,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,01:00pm-01:50pm,65,66,-1,0,0,0,0,0,0,"Clark Scholten (P), Robert Haven Thompson",01/11-05/13,BB W250,UG_Req
NR,11319,CSCI,101,E,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,02:00pm-02:50pm,65,62,3,0,0,0,0,0,0,"Megan Kinsley Shapiro (P), Robert Haven Thompson",01/11-05/13,AH 340,UG_Req
NR,11320,CSCI,101,F,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,03:00pm-03:50pm,65,58,7,0,0,0,0,0,0,"Megan Kinsley Shapiro (P), Robert Haven Thompson",01/11-05/13,AH 340,UG_Req
NR,11321,CSCI,101,G,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,04:00pm-04:50pm,65,58,7,0,0,0,0,0,0,"Clark Scholten (P), Robert Haven Thompson",01/11-05/13,CK 130,UG_Req
NR,11322,CSCI,101,H,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,04:00pm-04:50pm,65,64,1,0,0,0,0,0,0,"Rion Gipson- Hansen (P), Robert Haven Thompson",01/11-05/13,BB W250,UG_Req
NR,12221,CSCI,101,I,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,03:00pm-03:50pm,65,62,3,0,0,0,0,0,0,"Connor Allan Barnes (P), Robert Haven Thompson",01/11-05/13,MZ 326,UG_Req
NR,11126,CSCI,102,A,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,09:30am-10:45am,60,58,2,0,0,0,0,0,0,"Tanner Scott Lee (P), Christine Liebe",01/11-05/13,MZ 022,No_Special_Notes
NR,11127,CSCI,102,B,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,09:30am-10:45am,90,89,1,0,0,0,0,0,0,"Kyle Shay Thomas Moran (P), Christine Liebe",01/11-05/13,CK 130,No_Special_Notes
C,11128,CSCI,102,C,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,11:00am-12:15pm,95,95,0,0,0,0,0,0,0,"Eric William Roels (P), Christine Liebe",01/11-05/13,CK 130,No_Special_Notes
C,11323,CSCI,102,D,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,11:00am-12:15pm,60,60,0,0,0,0,0,0,0,Christine Liebe (P),01/11-05/13,MZ 022,No_Special_Notes
C,11324,CSCI,102,E,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,03:30pm-04:45pm,60,60,0,0,0,0,0,0,0,"Eric William Roels (P), Christine Liebe",01/11-05/13,MZ 022,No_Special_Notes
NR,11325,CSCI,102,F,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,03:30pm-04:45pm,60,58,2,0,0,0,0,0,0,"Shane Romero (P), Christine Liebe",01/11-05/13,MZ 026,No_Special_Notes
NR,11575,CSCI,102,G,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,02:00pm-03:15pm,60,18,42,0,0,0,0,0,0,"JoAnn Regina Hemann (P), Christine Liebe",01/11-05/13,MZ 022,No_Special_Notes
C,11928,CSCI,102,OL,O,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,AAA,00:00zm-00:00zm,40,40,0,0,0,0,0,0,0,Christine Liebe (P),01/11-03/08,ONLINE,No_Special_Notes
NR,10827,CSCI,250,A,C,3.000,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM,MWF,03:00pm-03:50pm,72,71,1,0,0,0,0,0,0,Phillip Richardson Romig (P),01/11-05/13,MZ 022,UG_Req
NR,10828,CSCI,250,B,C,3.000,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM,MWF,01:00pm-01:50pm,70,63,7,0,0,0,0,0,0,Phillip Richardson Romig (P),01/11-05/13,MZ 022,UG_Req
NR,10042,CSCI,261,B,C,3.000,PROGRAMMING CONCEPTS,MWF,09:00am-09:50am,60,49,11,0,0,0,0,0,0,"Amy N Hong (P), Jeffrey R Paone",01/11-05/13,MZ 022,UG_Req
NR,10043,CSCI,261,C,C,3.000,PROGRAMMING CONCEPTS,MWF,10:00am-10:50am,60,58,2,0,0,0,0,0,0,Jeffrey R Paone (P),01/11-05/13,MZ 022,UG_Req
NR,10044,CSCI,261,D,C,3.000,PROGRAMMING CONCEPTS,MWF,11:00am-11:50am,60,59,1,0,0,0,0,0,0,Jeffrey R Paone (P),01/11-05/13,MZ 022,UG_Req
C,10788,CSCI,261,E,C,3.000,PROGRAMMING CONCEPTS,MWF,12:00pm-12:50pm,60,60,0,0,0,0,0,0,0,"Armando Eric Ocampo (P), Jeffrey R Paone",01/11-05/13,MZ 022,UG_Req
NR,10045,CSCI,262,A,C,3.000,DATA STRUCTURES,MW,12:00pm-12:50pm,60,59,1,0,0,0,0,0,0,Christopher Robert Painter- Wakefield (P),01/11-05/13,MZ 126,UG_Req
C,10046,CSCI,262,B,C,3.000,DATA STRUCTURES,MW,01:00pm-01:50pm,60,60,0,0,0,0,0,0,0,Christopher Robert Painter- Wakefield (P),01/11-05/13,MZ 126,UG_Req
NR,11129,CSCI,262,C,C,3.000,DATA STRUCTURES,MW,02:00pm-02:50pm,60,37,23,0,0,0,0,0,0,"Joseph R Lovato (P), Christopher Robert Painter- Wakefield",01/11-05/13,BE 243,UG_Req
NR,10813,CSCI,262,R01 ,C,0.000,DATA STRUCTURES,F,12:00pm-12:50pm,60,56,4,0,0,0,0,0,0,Christopher Robert Painter- Wakefield (P),01/11-05/13,MZ 026,UG_Req
NR,10864,CSCI,262,R02 ,C,0.000,DATA STRUCTURES,F,01:00pm-01:50pm,60,50,10,0,0,0,0,0,0,Christopher Robert Painter- Wakefield (P),01/11-05/13,MZ 026,UG_Req
NR,10865,CSCI,262,R03 ,C,0.000,DATA STRUCTURES,F,02:00pm-02:50pm,60,33,27,0,0,0,0,0,0,"Joseph R Lovato (P), Christopher Robert Painter- Wakefield",01/11-05/13,MZ 026,UG_Req
NR,11130,CSCI,262,R04 ,C,0.000,DATA STRUCTURES,F,11:00am-11:50am,60,17,43,0,0,0,0,0,0,"Joseph R Lovato (P), Christopher Robert Painter- Wakefield",01/11-05/13,MZ 026,UG_Req
NR,10438,CSCI,274,A,C,1.000,INTRODUCTION TO THE LINUX OPERATING SYSTEM,M,02:00pm-02:50pm,60,57,3,0,0,0,0,0,0,"Seth David Dale (P), Ameliaann Blaisy Read",01/11-05/13,CK 130,UG_Req
NR,10800,CSCI,274,B,C,1.000,INTRODUCTION TO THE LINUX OPERATING SYSTEM,W,01:00pm-01:50pm,60,35,25,0,0,0,0,0,0,"Seth David Dale (P), Ameliaann Blaisy Read",01/11-05/13,MZ 026,UG_Req
NR,10862,CSCI,274,C,C,1.000,INTRODUCTION TO THE LINUX OPERATING SYSTEM,F,11:00am-11:50am,60,59,1,0,0,0,0,0,0,"Seth David Dale (P), Ameliaann Blaisy Read",01/11-05/13,CT 231,UG_Req
NR,12187,CSCI,290,A,C,1.000,PROGRAMMING CHALLENGES I,R,03:30pm-04:20pm,44,31,13,0,0,0,0,0,0,"Wendy Denise Fisher (P), Jeffrey R Paone",01/11-05/13,AH 130,No_Special_Notes
NR,12225,CSCI,295,A,C,1.000,INDUSTRY EXPLORATION I,W,03:00pm-03:59pm,40,12,28,0,0,0,0,0,0,Wendy Denise Fisher (P),01/11-05/13,CO 212,No_Special_Notes
C,10829,CSCI,303,A,C,3.000,INTRODUCTION TO DATA SCIENCE,TR,02:00pm-03:15pm,55,56,-1,0,0,0,72,71,1,"Morgan Dallas Cox (P), Wendy Denise Fisher",01/11-05/13,MZ 226,UG_Req
C,11420,CSCI,303,B,C,3.000,INTRODUCTION TO DATA SCIENCE,TR,12:30pm-01:45pm,35,40,-5,0,0,0,50,50,0,Wendy Denise Fisher (P),01/11-05/13,MZ 122,UG_Req
NR,11577,CSCI,303,OL,O,3.000,INTRODUCTION TO DATA SCIENCE,AAA,00:00zm-00:00zm,30,23,7,0,0,0,45,37,8,Wendy Denise Fisher (P),01/11-05/13,ONLINE,UG_Req
NR,10047,CSCI,306,A,C,3.000,SOFTWARE ENGINEERING,TR,12:30pm-01:45pm,60,59,1,0,0,0,0,0,0,Mark Lewis Baldwin (P),01/11-05/13,MZ 026,UG_Req
NR,10783,CSCI,306,B,C,3.000,SOFTWARE ENGINEERING,TR,02:00pm-03:15pm,60,59,1,0,0,0,0,0,0,Mark Lewis Baldwin (P),01/11-05/13,MZ 026,UG_Req
NR,11929,CSCI,306,C,C,3.000,SOFTWARE ENGINEERING,TR,12:30pm-01:45pm,50,47,3,0,0,0,0,0,0,"Mark Lewis Baldwin (P), Caleb Loyal Bartel",01/11-05/13,CK 130,UG_Req
