Select,CRN,Subj,Section,CMP,Credits,Title,Days,Time,Cap,Act,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructors,Date,Location,Attributes
NR,80291,CSCI,101,A,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,01:00pm-01:50pm,61,60,1,0,0,0,0,0,0,"Mackenzie Gayle Hull (P), Tracy K Camp, Megan Kinsley Shapiro",08/23-12/17,MZ 108,UG_Req
C,80268,CSCI,101,B,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,02:00pm-02:50pm,63,63,0,0,0,0,0,0,0,"Robert Haven Thompson (P), Tracy K Camp, Megan Kinsley Shapiro",08/23-12/17,AH 330,UG_Req
NR,80302,CSCI,101,C,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,03:00pm-03:50pm,64,60,4,0,0,0,0,0,0,"Robert Haven Thompson (P), Tracy K Camp, Megan Kinsley Shapiro",08/23-12/17,BE 243,UG_Req
NR,80811,CSCI,101,D,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,01:00pm-01:50pm,63,62,1,0,0,0,0,0,0,"Armando Eric Ocampo (P), Tracy K Camp, Megan Kinsley Shapiro",08/23-12/17,BB W210,UG_Req
C,80960,CSCI,101,E,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,02:00pm-02:50pm,65,65,0,0,0,0,0,0,0,"Megan Kinsley Shapiro (P), Tracy K Camp, Carter Jameison Fowler",08/23-12/17,HH 202,UG_Req
NR,80961,CSCI,101,F,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,03:00pm-03:50pm,60,58,2,0,0,0,0,0,0,"Megan Kinsley Shapiro (P), Tracy K Camp",08/23-12/17,MZ 108,UG_Req
NR,81299,CSCI,101,G,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,04:00pm-04:50pm,60,58,2,0,0,0,0,0,0,"Megan Kinsley Shapiro (P), Tracy K Camp",08/23-12/17,MZ 108,UG_Req
NR,81340,CSCI,101,H,C,3.000,INTRODUCTION TO COMPUTER SCIENCE,MWF,04:00pm-04:50pm,50,48,2,0,0,0,0,0,0,"Alexander William Cieslewicz (P), Tracy K Camp, Megan Kinsley Shapiro",08/23-12/17,HH 204,UG_Req
C,81567,CSCI,102,A,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,09:30am-10:45am,60,61,-1,0,0,0,0,0,0,"Dylan T Norris (P), Tracy K Camp, Christine Liebe",08/23-12/17,MZ 022,No_Special_Notes
C,81568,CSCI,102,B,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,09:30am-10:45am,60,60,0,0,0,0,0,0,0,"Christine Liebe (P), Tracy K Camp",08/23-12/17,BB W210,No_Special_Notes
NR,81569,CSCI,102,C,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,11:00am-12:15pm,42,41,1,0,0,0,0,0,0,"Dylan T Norris (P), Tracy K Camp, Christine Liebe",08/23-12/17,MZ 302,No_Special_Notes
C,81570,CSCI,102,D,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,11:00am-12:15pm,64,64,0,0,0,0,0,0,0,"Hunter Lee Belcher (P), Tracy K Camp, Christine Liebe",08/23-12/17,BB W210,No_Special_Notes
NR,81571,CSCI,102,E,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,03:30pm-04:45pm,60,50,10,0,0,0,0,0,0,"Hunter Lee Belcher (P), Tracy K Camp, Christine Liebe",08/23-12/17,BB W210,No_Special_Notes
NR,81572,CSCI,102,F,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,TR,03:30pm-04:45pm,60,29,31,0,0,0,0,0,0,"Eric William Roels (P), Tracy K Camp, Christine Liebe",08/23-12/17,MZ 022,No_Special_Notes
NR,81933,CSCI,102,OL,C,1.000,INTRODUCTION TO COMPUTER SCIENCE - LAB,AAA,00:00zm-00:00zm,40,33,7,0,0,0,0,0,0,"Christine Liebe (P), Tracy K Camp",08/23-10/18,ONLINE,No_Special_Notes
C,80962,CSCI,250,A,C,3.000,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM,MWF,11:00am-11:50am,30,31,-1,0,0,0,0,0,0,Paul Constantin Sava (P),08/23-12/17,MZ 022,UG_Req
NR,82158,CSCI,250,B,C,3.000,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM,MWF,03:00pm-03:50pm,30,20,10,0,0,0,0,0,0,"Torin Allan Johnson (P), Paul Constantin Sava",08/23-12/17,MZ 022,UG_Req
NR,82283,CSCI,250,C,C,3.000,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM,MWF,11:00am-11:50am,30,29,1,0,0,0,0,0,0,Paul Constantin Sava (P),08/23-12/17,MZ 022,UG_Req
NR,82284,CSCI,250,D,C,3.000,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM,MWF,03:00pm-03:50pm,30,15,15,0,0,0,0,0,0,"Torin Allan Johnson (P), Paul Constantin Sava",08/23-12/17,MZ 022,UG_Req
NR,80104,CSCI,260,A,C,2.000,FORTRAN,PROGRAMMING,WF08:00am-08:50,am,40,30,10,0,0,0,0,0,0 Larry Edward Johnson (P),08/23-12/17,CK 130,No_Special_Notes
NR,80106,CSCI,261,B,C,3.000,PROGRAMMING CONCEPTS,MWF,09:00am-09:50am,45,38,7,0,0,0,0,0,0,"Amy N Hong (P), Jeffrey R Paone",08/23-12/17,MZ 026,UG_Req
