Semester Admitted,Department,Major,id,Taken,Class,Type,Taken_Semester,Taken_Year,Admitted_Semester,Admitted_Year,Taken_Num,Admitted_Num
Fall 2017,Applied Math & Statistics,Computational & Applied Math,287,Spring 2018,CSCI101,Pass,Spring,2018,Fall,2017,8072,8071
Fall 2017,Electrical Engineering,Electrical Engineering,288,Spring 2018,CSCI101,Pass,Spring,2018,Fall,2017,8072,8071
Fall 2017,Applied Math & Statistics,Computational & Applied Math,289,Spring 2018,CSCI101,Pass,Spring,2018,Fall,2017,8072,8071
Fall 2017,Applied Math & Statistics,Statistics,290,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Mechanical Engineering,Mechanical Engineering,292,Spring 2018,CSCI101,Pass,Spring,2018,Fall,2017,8072,8071
Fall 2017,Applied Math & Statistics,Statistics,294,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,Electrical Engineering,295,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Applied Math & Statistics,Computational & Applied Math,298,Spring 2018,CSCI101,Pass,Spring,2018,Fall,2017,8072,8071
Fall 2017,Electrical Engineering,Electrical Engineering,299,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Mechanical Engineering,Mechanical Engineering,301,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2017,8075,8071
Fall 2017,Computer Science,Computer Science,302,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,Electrical Engineering,306,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,307,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,Electrical Engineering,308,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
