Semester Admitted,Department,Major,id,Taken,Class,Type,Taken_Semester,Taken_Year,Admitted_Semester,Admitted_Year,Taken_Num,Admitted_Num,Specialty
Fall 2019,Computer Science,Computer Science,3302,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2019,8091,8079,Computer Eng 
Fall 2019,Physics,Engineering Physics,3303,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2019,8092,8079,N/A
Fall 2019,Electrical Engineering,Electrical Engineering,3304,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2019,8091,8079,Intg Crcts & Elctrnc 
Fall 2019,Computer Science,Computer Science,3305,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2019,8088,8079,N/A
Fall 2019,Engineering Design & Society,Engineering General,3307,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2019,8092,8079,Robotics & Automatn 
Fall 2020,Computer Science,Computer Science,3314,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2020,8092,8083,N/A
Fall 2020,Computer Science,Computer Science,3317,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2020,8095,8083,Data Science 
Fall 2020,Computer Science,Computer Science,3318,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2020,8095,8083,N/A
Fall 2020,Computer Science,Computer Science,3320,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2020,8095,8083,Data Science 
Fall 2021,Computer Science,Computer Science,3321,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2021,8095,8087,Robotics Intel Sys 
