Semester Admitted,Department,Major,id,Taken,Class,Type,Taken_Semester,Taken_Year,Admitted_Semester,Admitted_Year,Taken_Num,Admitted_Num,Specialty
Fall 2019,Electrical Engineering,Electrical Engineering,2887,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2019,8088,8079,Info Sys & Science 
Fall 2020,Electrical Engineering,Electrical Engineering,2893,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2020,8091,8083,Intg Crcts & Elctrnc 
Fall 2020,Computer Science,Computer Science,2895,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2020,8091,8083,N/A
Fall 2021,Computer Science,Computer Science,2904,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2021,8091,8087,N/A
Fall 2022,Computer Science,Computer Science,2906,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2022,8092,8091,N/A
Summer 2021,Computer Science,Computer Science,2911,Fall 2022,CSCI442,Pass,Fall,2022,Summer,2021,8091,8085,N/A
Fall 2017,Electrical Engineering,Electrical Engineering,2929,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2017,8084,8071,N/A
Fall 2017,Electrical Engineering,Electrical Engineering,2934,Fall 2019,CSCI442,Pass,Fall,2019,Fall,2017,8079,8071,Info Sys & Science 
Fall 2018,Electrical Engineering,Electrical Engineering,2937,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2018,8091,8075,N/A
Fall 2019,Electrical Engineering,Electrical Engineering,2940,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2019,8088,8079,N/A
Fall 2020,Physics,Engineering Physics,2948,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2020,8095,8083,N/A
Fall 2020,Physics,Engineering Physics,2950,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2020,8091,8083,N/A
Fall 2021,Computer Science,Computer Science,2959,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2021,8095,8087,Computer Eng 
Fall 2021,Computer Science,Computer Science,2961,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2021,8091,8087,Data Science 
Summer 2021,Computer Science,Computer Science,2962,Fall 2023,CSCI442,Pass,Fall,2023,Summer,2021,8095,8085,N/A
Fall 2021,Computer Science,Computer Science,2963,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2021,8092,8087,N/A
Fall 2021,Computer Science,Computer Science,2964,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2021,8091,8087,N/A
Fall 2022,Computer Science,Computer Science,2965,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2022,8095,8091,N/A
Fall 2017,Electrical Engineering,Electrical Engineering,2979,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2017,8084,8071,N/A
Fall 2018,Electrical Engineering,Electrical Engineering,2982,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2018,8088,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,2987,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2018,8088,8075,N/A
Fall 2021,Computer Science,Computer Science,2993,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2021,8095,8087,Business 
Fall 2021,Computer Science,Computer Science,2996,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2021,8095,8087,N/A
Fall 2021,Computer Science,Computer Science,2999,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2021,8095,8087,Computer Eng 
Fall 2021,Computer Science,Computer Science,3003,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2021,8092,8087,N/A
Fall 2021,Computer Science,Computer Science,3004,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2021,8091,8087,N/A
Fall 2018,Computer Science,Computer Science,3019,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2018,8092,8075,Computer Eng 
Fall 2020,Computer Science,Computer Science,3027,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2020,8091,8083,Computer Eng 
Fall 2021,Computer Science,Computer Science,3035,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2021,8092,8087,N/A
Fall 2021,Computer Science,Computer Science,3036,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2021,8092,8087,Space 
Fall 2021,Computer Science,Computer Science,3039,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2021,8092,8087,Data Science 
Fall 2017,Electrical Enginrg & Comp Sci,Computer Science,3050,Fall 2019,CSCI442,Pass,Fall,2019,Fall,2017,8079,8071,N/A
Fall 2018,Computer Science,Computer Science,3051,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2018,8083,8075,Data Science 
Fall 2017,Electrical Engineering,Electrical Engineering,3052,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2017,8088,8071,N/A
Fall 2017,Computer Science,Computer Science,3053,Spring 2020,CSCI442,Pass,Spring,2020,Fall,2017,8080,8071,N/A
Fall 2017,Electrical Enginrg & Comp Sci,Computer Science,3056,Spring 2020,CSCI442,Pass,Spring,2020,Fall,2017,8080,8071,Computer Eng 
Fall 2017,Computer Science,Computer Science,3057,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2017,8084,8071,Data Science 
Fall 2017,Computer Science,Computer Science,3059,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2017,8083,8071,Computer Eng 
Fall 2017,Computer Science,Computer Science,3060,Spring 2020,CSCI442,Pass,Spring,2020,Fall,2017,8080,8071,Data Science 
Fall 2018,Computer Science,Computer Science,3061,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2018,8084,8075,N/A
Fall 2018,Computer Science,Computer Science,3062,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2018,8084,8075,Data Science 
Fall 2018,Computer Science,Computer Science,3065,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2018,8084,8075,Data Science 
Fall 2018,Computer Science,Computer Science,3068,Fall 2021,CSCI442,Pass,Fall,2021,Fall,2018,8087,8075,N/A
Fall 2019,Computer Science,Computer Science,3069,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2019,8091,8079,Research Honors 
Fall 2019,Computer Science,Computer Science,3070,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2019,8092,8079,N/A
Fall 2020,Computer Science,Computer Science,3071,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2020,8091,8083,Data Science 
Fall 2019,Computer Science,Computer Science,3072,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2019,8083,8079,Data Science 
Fall 2020,Computer Science,Computer Science,3075,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2020,8095,8083,N/A
Fall 2020,Computer Science,Computer Science,3076,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2020,8092,8083,N/A
Fall 2020,Interdisciplinary Program,Robotics,3078,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2020,8092,8083,N/A
Fall 2020,Computer Science,Computer Science,3079,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2020,8092,8083,Business 
Fall 2020,Computer Science,Computer Science,3081,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2020,8095,8083,N/A
Fall 2020,Computer Science,Computer Science,3082,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2020,8091,8083,Space 
Fall 2020,Electrical Engineering,Electrical Engineering,3083,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2020,8092,8083,Intg Crcts & Elctrnc 
Fall 2020,Computer Science,Computational & Applied Math,3084,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2020,8091,8083,N/A
Summer 2020,Computer Science,Computer Science,3086,Spring 2022,CSCI442,Pass,Spring,2022,Summer,2020,8088,8081,N/A
Fall 2020,Computer Science,Computer Science,3087,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2020,8083,8083,Computer Eng 
Fall 2022,Computer Science,Computer Science,3096,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2022,8095,8091,N/A
