Year_Semester,Eligible,Class
Fall 2018,234,MATH213
Fall 2022,970,MATH213
Summer Two 2018,234,MATH213
Spring 2021,566,MATH213
Spring 2019,284,MATH213
Fall 2020,417,MATH213
Fall 2019,307,MATH213
Spring 2020,395,MATH213
Summer 2020,403,MATH213
Summer 2023,1270,MATH213
Summer 2019,307,MATH213
Summer 2021,655,MATH213
Spring 2023,1125,MATH213
Summer 2022,965,MATH213
Fall 2023,1277,MATH213
Summer 2019,811,MATH332
Fall 2020,1336,MATH332
Spring 2019,666,MATH332
Spring 2022,2192,MATH332
Fall 2019,863,MATH332
Spring 2018,192,MATH332
Spring 2020,1104,MATH332
Fall 2017,27,MATH332
Fall 2023,2937,MATH332
Fall 2018,411,MATH332
Summer Two 2018,367,MATH332
Spring 2023,2703,MATH332
Spring 2021,1653,MATH332
Fall 2022,2343,MATH332
Fall 2021,1875,MATH332
Summer 2023,2909,MATH332
Summer 2020,1264,MATH332
Summer 2021,1835,MATH332
Summer 2022,2323,MATH332
