class,point,lower,upper
CSCI128,751,562.931106,939.474441
CSCI200,305,195.043677,415.346531
CSCI220,217,119.949861,315.332766
CSCI274,170,92.879267,248.367504
CSCI306,166,115.635744,216.49154
CSCI341,162,116.496876,209.142358
CSCI358,191,142.871094,240.678177
CSCI370,147,140.100216,155.609323
CSCI400,165,118.512906,213.225368
CSCI406,200,140.683646,259.358116
CSCI442,133,70.661951,196.905131
