Major                           Specialty              Department                    
Data Science                    N/A                    Electrical Enginrg & Comp Sci       1
Geology                         N/A                    Geo & Geological Engineering        1
Electrical Engineering          N/A                    Computer Science                    1
                                                       Interdisciplinary Program           1
Engineer of Mines               N/A                    Mining                              1
Data Science                    N/A                    Chemical & Biological Engineer      1
                                                       Economics and Business              1
Environmental Sci & Enginrng    N/A                    Environ Science & Engineering       1
Finite Element Analysis         N/A                    Interdisciplinary Program           1
GIS & Geoinformatics            N/A                    Geo & Geological Engineering        1
Geological Engineering          GTch                   Interdisciplinary Program           1
                                N/A                    Geo & Geological Engineering        1
Operations Research w Eng       N/A                    Economics and Business              1
Petroleum Reservoir Systems     N/A                    Geophysics                          1
Engineering General             Corporate Sustnblty    Engineering Design & Society        1
                                                       Interdisciplinary Program           1
Engineering - Electrical        N/A                    Engineering                         1
Engineering - Environmental     N/A                    Civil & Environmental Enginrng      1
Engineering - Mechanical        N/A                    Engineering                         1
                                                       Mechanical Engineering              1
Robotics                        N/A                    Physics                             1
Space Resources                 N/A                    Metallurgical & Materials Eng       1
                                                       Mining                              1
Undrgrnd Const & Tunnel Eng     N/A                    Mining                              1
